Temperature,Density_ref,Viscosity_ref,SpecificHeat_ref,ThermalConductivity_ref,PrandtlNumber_ref,Density_api,Viscosity_api,SpecificHeat_api,ThermalConductivity_api,PrandtlNumber_api,Phase,Density_diff_pct,Viscosity_diff_pct,SpecificHeat_diff_pct,ThermalConductivity_diff_pct,PrandtlNumber_diff_pct
-20,2.1371,1.27e-05,0.808,0.013178,0.780099,2.137151297938776,1.2735220879615809e-05,0.8080536342420317,0.013278547559242052,0.7749935175077057,Vapor,0.0024003527572830493,0.27732976075439636,0.0066379012415397984,0.7629955929735273,-0.6544659706388876
-15,2.0946,1.3e-05,0.8126,0.013544,0.778229,2.094606917957733,1.2979455202962774e-05,0.8126680137121117,0.01364065533262336,0.7732792711471942,Vapor,0.0003302758394601479,-0.1580369002863479,0.008369888273656947,0.7136394907217861,-0.6360247244456011
-10,2.0538,1.32e-05,0.8173,0.013916,0.776295,2.0537725869769523,1.3223232532123312e-05,0.8173485591630627,0.014005722199619023,0.7716873874730371,Vapor,-0.0013347464722728605,0.17600403123721062,0.005941412340961464,0.6447413022350037,-0.5935388643444626
-5,2.0145,1.35e-05,0.822,0.014293,0.77439,2.014542986431451,1.3466524839074346e-05,0.822078806335952,0.014373601770476198,0.7702032623020972,Vapor,0.0021338511516923375,-0.24796415500484437,0.009587145492947785,0.5639247916896246,-0.5406497627684742
5,1.9405,1.4e-05,0.8316,0.01506,0.770675,1.940520356449012,1.395154570368014e-05,0.8316343101525419,0.015117247597282522,0.7675098750252762,Vapor,0.0010490311266279542,-0.3461021165704212,0.004125799968957417,0.38013012803799406,-0.4106951665389127
10,1.9055,1.42e-05,0.8364,0.01545,0.768821,1.9055575323120426,1.4193222004733227e-05,0.8364374892129914,0.015492753671263283,0.766280622530898,Vapor,0.0030192764126287463,-0.047732361033609824,0.00448221102240602,0.2767227913481058,-0.3304250884278606
15,1.8718,1.44e-05,0.8412,0.015844,0.767022,1.8718582668299537,1.4434308949930803e-05,0.8412456683835646,0.015870551210420317,0.7651186717775086,Vapor,0.003112876907458136,0.23825659674169206,0.005428956676733087,0.1675789599868483,-0.24814519303115115
20,1.8393,1.47e-05,0.846,0.016242,0.765163,1.8393532966477844,1.467478285957473e-05,0.846051411261504,0.016250523777246645,0.76401704588478,Vapor,0.002897659315196959,-0.17154517296102006,0.006076981265246612,0.05247985005938543,-0.14976601262998926
25,1.808,1.49e-05,0.8508,0.016643,0.763378,1.807978519850797,1.4914621121219387e-05,0.8508481127190025,0.016632559775929673,0.7629694450638994,Vapor,-0.0011880613497296723,0.09812833033145735,0.005654997532030235,-0.06273042162067363,-0.05351934901196934
30,1.7777,1.52e-05,0.8556,0.017046,0.761664,1.7776745023402118,1.5153802214282982e-05,0.8556299729132819,0.017016552165072217,0.7619702379080787,Vapor,-0.0014343061139792711,-0.3039328007698555,0.0035031455448672026,-0.1727551034130094,0.04020643066742163
35,1.7484,1.54e-05,0.8604,0.017452,0.759974,1.7483860421651085,1.53923057230035e-05,0.8603921378747925,0.017402398199241744,0.7610145946647819,Vapor,-0.0007983204582156626,-0.049962837639617924,-0.0009137755936234486,-0.284218432032172,0.13692503490670757
40,1.7201,1.57e-05,0.8651,0.017861,0.758278,1.720061784276464,1.5630112339829877e-05,0.8651307088817599,0.017789999195180546,0.7600984952535228,Vapor,-0.0022217152221327813,-0.4451443322937707,0.003549749365383568,-0.397518642962053,0.2400828262883522
45,1.6926,1.59e-05,0.8698,0.018272,0.756691,1.6926538789833645,1.5867203860982758e-05,0.8698425268631935,0.018179260319248963,0.7592185369790818,Vapor,0.003183208281011291,-0.2062650252656769,0.004889269164578506,-0.5075507922013835,0.33402498233516886
50,1.6661,1.61e-05,0.8745,0.018685,0.755133,1.6661176779362148,1.6103563175624426e-05,0.8745249008820519,0.01857009039325026,0.7583716983069488,Vapor,0.0010610369254472796,0.022131525617564027,0.0028474422014717385,-0.6149831776812447,0.4288911101685112
55,1.6404,1.64e-05,0.8791,0.019099,0.753649,1.6404114623280546,1.6339174249838778e-05,0.8791754549332116,0.018962401716237903,0.7575552111077236,Vapor,0.0006987520150262193,-0.3708887204952488,0.008583202503878274,-0.7152117061736154,0.5183064142224829
60,1.6155,1.66e-05,0.8838,0.019515,0.752192,1.6154961990730332,1.6574022106426994e-05,0.883792106550713,0.01935610990028394,0.7567665483335766,Vapor,-0.00023527867327290933,-0.15649333477714675,-0.0008931261922355227,-0.8141947205537285,0.6081623220635984
65,1.5913,1.68e-05,0.8883,0.019932,0.750791,1.5913353215995318,1.6808092801363276e-05,0.888373091416666,0.01975113371851132,0.7560034493481256,Vapor,0.002219669423232651,0.04817143668617631,0.008228235580997929,-0.90741662396487,0.6942610324478573
70,1.5679,1.71e-05,0.8929,0.02035,0.749482,1.5678945324394153,1.7041373397621516e-05,0.8929169664602207,0.02014739496396168,0.7552639245117697,Vapor,-0.000348718705576027,-0.34284562794434265,0.0019001523374002148,-0.9956021426944456,0.7714560872402182
75,1.5452,1.73e-05,0.8974,0.020769,0.748182,1.545141625123339,1.7273851936969462e-05,0.8974225801388764,0.020544818318086164,0.7545462306794862,Vapor,-0.003777820130788132,-0.15114487300889073,0.0025161732645932865,-1.0794052766807976,0.850626008041655
80,1.5231,1.75e-05,0.9018,0.02119,0.746922,1.5230463231570872,1.750551741023268e-05,0.9018890281053771,0.020943331227821382,0.7538488342501353,Vapor,-0.003524183764210268,0.03152805847246436,0.009872267174210626,-1.1640810390685141,0.9273838834758241
85,1.5016,1.78e-05,0.9063,0.02161,0.745774,1.5015801341185047,1.7736359726450177e-05,0.9063156114390087,0.021342863790357835,0.7531703767031671,Vapor,-0.0013229809200442518,-0.3575296266843944,0.001722546508743764,-1.2361694106532433,0.9917718642869102
90,1.4807,1.8e-05,0.9107,0.022032,0.744623,1.4807162171720978,1.7966369681276694e-05,0.9107018038099484,0.02174334864483065,0.7525096478980087,Vapor,0.0010952368540471766,-0.1868351040183717,0.00019806851305683137,-1.310145947573301,1.05914642685072
95,1.4604,1.82e-05,0.915,0.022453,0.743557,1.4604292625287072,1.81955389249301e-05,0.9150472267008161,0.02214472087026714,0.7518655662033308,Vapor,0.0020037338199996252,-0.02451140148295177,0.005161388067325425,-1.372997504711448,1.1174081076946027
100,1.4407,1.85e-05,0.9193,0.022875,0.742521,1.4406953815723955,1.8423859929934548e-05,0.91935162987785,0.022546917889213227,0.7512371629791846,Vapor,-0.00032056830739048023,-0.4115679462997349,0.005616216452737124,-1.4342387356798798,1.17386080382705
105,1.4215,1.87e-05,0.9236,0.023298,0.741497,1.421492006538922,1.865132595886891e-05,0.9236148749694059,0.02294987937653521,0.7506235695778803,Vapor,-0.0005623257881067552,-0.2602889900058312,0.0016105423782900553,-1.4942081872469335,1.2308302768427093
110,1.4028,1.89e-05,0.9278,0.02372,0.74059,1.4027977987663998,1.8877931032295607e-05,0.9278369210547586,0.023353547172955506,0.7500240059461403,Vapor,-0.00015691713717459616,-0.11676702489096136,0.003979419568722746,-1.5449107379616152,1.273850031210292
115,1.3846,1.92e-05,0.932,0.024142,0.739686,1.3845925646549282,1.910366989701551e-05,0.9320178118157264,0.023757865202933822,0.749437770464542,Vapor,-0.0005370031107800126,-0.5017192863775425,0.0019111390264328369,-1.5911473658610644,1.3183662343943252
120,1.3669,1.94e-05,0.9361,0.024565,0.738829,1.3668571785722197,1.932853799476869e-05,0.9361576640684538,0.024162779396549136,0.7488642308800704,Vapor,-0.0031327403453315808,-0.36836085170778177,0.006160032950940657,-1.637372698761913,1.3582616383588642
