Temperature (°C),1,5,10,20,40,60,80,100,120,150,200
-30,Vapor,Vapor,Vapor,Two-Phase,Two-Phase,Liquid,Liquid,Liquid,Liquid,Liquid,Liquid
-10,Vapor,Vapor,Vapor,Vapor,Two-Phase,Liquid,Liquid,Liquid,Liquid,Liquid,Liquid
0,Vapor,Vapor,Vapor,Vapor,Two-Phase,Two-Phase,Liquid,Liquid,Liquid,Liquid,Liquid
10,Vapor,Vapor,Vapor,Vapor,Vapor,Two-Phase,Liquid,Liquid,Liquid,Liquid,Liquid
20,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Liquid,Liquid,Liquid,Liquid,Liquid
30,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Liquid,Liquid,Liquid,Liquid
40,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Liquid,Liquid,Liquid
50,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Liquid,Liquid
75,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Two-Phase,Two-Phase,Vapor,Liquid
100,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor,Vapor
